keyword,url,intent,priority
south african product sourcing,/,Commercial,100
south african export agent,/,Commercial,98
rooibos wholesale supplier,/products/rooibos-and-tea,Commercial,96
south african tea supplier,/products/rooibos-and-tea,Commercial,94
south african apple export,/products/fresh-apples,Commercial,94
dried pineapple supplier,/products/dried-fruit,Commercial,92
south african dried fruit wholesale,/products/dried-fruit,Commercial,90
south african nuts supplier,/products/nuts,Commercial,90
south african supplier sourcing,/services/supplier-sourcing,Commercial,94
south africa export coordination,/services/export-coordination,Commercial,88
